carat,depth,table,pricerange,x,y,z
1.8,58.2,61.0,2,8.07,7.95,4.66
1.02,61.5,57.0,2,6.47,6.44,3.97
2.09,60.0,60.0,3,8.37,8.32,5.01
1.0,63.4,60.0,2,6.28,6.33,4.0
1.54,63.0,54.0,2,7.33,7.28,4.6
0.4,61.7,55.0,1,4.73,4.76,2.93
0.56,61.8,55.0,1,5.33,5.28,3.28
0.77,62.1,57.0,2,5.85,5.8,3.62
1.06,63.0,56.0,2,6.47,6.51,4.09
0.36,60.3,59.0,1,4.58,4.64,2.78
1.02,63.0,58.0,2,6.44,6.39,4.04
0.43,62.5,56.0,1,4.85,4.82,3.02
0.25,62.0,54.0,1,4.05,4.08,2.52
0.4,61.6,58.0,1,4.73,4.78,2.93
0.71,61.2,56.0,2,5.76,5.86,3.54
0.31,59.4,59.0,1,4.41,4.44,2.63
0.3,62.7,58.0,1,4.25,4.3,2.68
0.61,62.7,57.0,1,5.36,5.43,3.38
0.32,61.8,55.0,1,4.35,4.42,2.71
0.35,63.0,57.0,1,4.46,4.52,2.83
1.22,62.2,57.0,2,6.85,6.81,4.25
0.55,60.3,57.0,1,5.32,5.37,3.23
2.11,60.0,56.0,3,8.43,8.35,5.03
0.61,62.3,55.0,1,5.46,5.49,3.41
1.52,63.1,60.0,2,7.25,7.21,4.56
1.22,62.3,57.0,2,6.79,6.83,4.24
0.3,60.1,61.0,1,4.32,4.3,2.59
1.06,60.4,57.0,2,6.64,6.58,3.99
0.51,60.8,56.0,1,5.21,5.22,3.17
0.5,62.0,58.0,1,5.08,5.11,3.16
1.61,62.1,58.0,2,7.47,7.53,4.66
0.57,62.3,56.0,1,5.31,5.28,3.3
0.35,59.9,59.9,1,4.54,4.59,2.73
2.41,61.1,60.0,3,8.66,8.6,5.27
1.23,60.5,64.0,2,6.94,6.88,4.18
0.32,61.1,56.0,1,4.45,4.42,2.71
0.46,62.5,56.0,1,4.94,4.92,3.08
0.37,63.3,56.0,1,4.56,4.63,2.91
0.2,60.2,62.0,1,3.79,3.75,2.27
1.2,62.4,60.0,2,6.75,6.71,4.2
0.3,62.5,56.0,1,4.3,4.28,2.68
0.73,61.3,56.0,2,5.79,5.82,3.56
0.41,62.2,56.0,1,4.75,4.77,2.96
1.75,62.8,59.0,2,7.62,7.66,4.8
0.75,61.3,55.0,2,5.85,5.89,3.59
2.03,62.5,56.0,3,8.1,8.05,5.05
0.71,62.2,58.0,1,5.61,5.7,3.52
0.9,63.0,56.0,2,6.11,6.15,3.86
1.0,61.9,60.0,2,6.34,6.39,3.94
0.39,61.3,62.0,1,4.71,4.68,2.88
0.32,63.2,56.0,1,4.38,4.32,2.75
0.55,63.2,56.0,1,5.24,5.21,3.3
0.9,62.1,59.0,2,6.13,6.04,3.78
1.51,61.9,58.0,2,7.39,7.34,4.56
1.51,61.2,62.0,2,7.28,7.19,4.43
0.23,62.8,62.0,1,3.9,3.93,2.46
0.72,62.0,57.0,1,5.72,5.76,3.56
1.57,62.4,58.0,2,7.41,7.37,4.61
0.25,60.8,60.0,1,4.07,4.09,2.48
0.7,62.8,57.0,1,5.71,5.62,3.56
0.54,61.8,56.0,1,5.25,5.23,3.24
0.7,63.1,60.0,1,5.56,5.62,3.53
1.09,63.6,56.0,2,6.56,6.53,4.16
1.5,63.4,54.0,3,7.22,7.25,4.59
0.32,60.8,59.0,1,4.43,4.45,2.7
0.9,63.1,56.0,2,6.17,6.12,3.88
1.21,62.6,58.0,2,6.71,6.75,4.21
0.4,60.4,56.0,1,4.79,4.82,2.9
0.51,60.6,58.0,1,5.15,5.12,3.11
0.46,61.7,59.0,1,4.96,4.93,3.05
0.5,61.7,57.0,1,5.12,5.16,3.17
0.58,61.9,56.0,1,5.35,5.38,3.32
1.25,61.5,56.0,2,7.0,6.92,4.28
0.58,61.8,56.0,1,5.35,5.36,3.31
1.04,63.9,55.0,2,6.49,6.4,4.12
2.15,61.2,58.0,2,8.42,8.3,5.1
0.32,62.1,53.0,1,4.4,4.45,2.75
1.02,63.3,58.0,2,6.31,6.4,4.02
1.52,61.4,58.0,3,7.42,7.37,4.54
0.23,61.9,55.0,1,3.94,3.97,2.45
0.59,61.0,58.0,1,5.39,5.43,3.3
1.04,62.6,59.0,2,6.47,6.43,4.04
1.51,62.4,59.0,2,7.27,7.34,4.56
0.93,62.3,58.0,2,6.18,6.22,3.86
0.8,62.7,56.0,2,5.88,5.96,3.71
0.71,61.9,55.0,1,5.75,5.69,3.54
1.39,61.6,55.0,2,7.14,7.18,4.41
0.3,63.4,59.0,1,4.25,4.23,2.69
0.38,63.2,57.0,1,4.59,4.62,2.91
0.56,60.9,56.0,1,5.32,5.35,3.25
0.54,63.4,56.0,1,5.18,5.14,3.27
0.24,61.4,55.0,1,4.05,3.99,2.47
0.3,62.5,59.0,1,4.26,4.29,2.67
0.31,60.7,56.0,1,4.38,4.35,2.65
0.7,62.7,58.0,1,5.65,5.67,3.55
0.3,62.5,57.0,1,4.32,4.29,2.69
0.55,61.4,56.0,1,5.32,5.26,3.25
1.12,62.4,57.0,2,6.65,6.6,4.14
0.31,62.9,59.0,1,4.28,4.31,2.7
1.06,61.6,56.0,2,6.55,6.59,4.05
0.42,62.1,54.0,1,4.84,4.86,3.01
1.0,61.7,58.0,2,6.39,6.34,3.93
0.7,62.4,60.0,1,5.72,5.63,3.54
0.44,61.5,58.0,1,4.95,4.87,3.02
2.04,60.6,61.0,3,8.15,8.09,4.92
2.01,62.1,56.0,3,8.02,8.11,5.01
1.67,62.3,59.0,2,7.59,7.63,4.74
0.7,64.4,58.0,1,5.58,5.51,3.57
1.71,61.4,59.0,3,7.77,7.67,4.74
0.32,62.5,57.0,1,4.35,4.39,2.73
0.31,60.4,57.0,1,4.37,4.4,2.65
1.25,61.5,59.0,2,6.91,6.95,4.26
1.7,60.5,57.0,2,7.74,7.84,4.71
0.37,61.2,60.0,1,4.63,4.58,2.82
0.4,61.1,56.0,1,4.78,4.81,2.93
1.0,57.9,62.0,2,6.55,6.58,3.8
0.71,61.9,62.0,1,5.69,5.72,3.53
0.71,59.2,58.0,1,5.87,5.82,3.46
0.44,61.7,54.0,1,4.9,4.92,3.03
0.36,62.6,57.0,1,4.5,4.54,2.83
0.58,58.5,55.0,1,5.52,5.39,3.19
2.01,62.1,55.0,3,8.12,8.08,5.03
1.19,60.2,57.0,2,6.87,6.84,4.13
0.59,60.9,57.0,2,5.4,5.43,3.3
1.21,62.5,58.0,2,6.75,6.72,4.21
0.26,62.4,58.0,1,4.07,4.04,2.53
0.62,61.6,56.0,1,5.48,5.51,3.38
0.24,61.9,59.0,1,3.98,4.0,2.47
0.52,60.5,56.0,1,5.27,5.21,3.17
0.3,61.9,57.0,1,4.28,4.31,2.66
0.96,58.2,58.0,2,6.52,6.47,3.78
0.32,63.2,55.0,1,4.39,4.37,2.77
0.77,62.1,59.0,2,5.85,5.87,3.64
0.52,57.2,64.0,1,5.27,5.36,3.04
0.41,62.4,58.0,1,4.76,4.7,2.95
0.33,62.0,56.0,1,4.48,4.45,2.77
1.04,60.7,55.0,2,6.57,6.61,4.0
0.7,63.1,58.0,1,5.69,5.66,3.58
0.46,66.5,55.0,1,4.77,4.82,3.19
1.17,62.2,58.0,2,6.76,6.72,4.19
0.4,61.1,56.0,1,4.77,4.82,2.93
0.9,64.5,58.0,2,6.0,5.96,3.86
0.43,61.8,56.0,1,4.81,4.83,2.98
0.51,62.0,55.0,1,5.13,5.16,3.19
0.38,62.1,54.6,1,4.65,4.69,2.9
0.71,60.9,57.0,2,5.76,5.78,3.51
0.53,62.3,55.0,1,5.13,5.24,3.23
0.9,61.5,60.0,2,6.16,6.13,3.78
0.42,62.6,56.0,1,4.79,4.77,2.99
0.9,60.6,61.0,2,6.13,6.19,3.73
1.2,62.2,56.0,2,6.84,6.74,4.22
0.73,63.4,58.0,2,5.68,5.7,3.61
0.53,60.1,58.0,1,5.27,5.32,3.18
0.78,61.2,56.0,1,5.92,5.99,3.64
0.4,60.4,61.0,1,4.74,4.77,2.87
0.33,61.5,56.0,1,4.45,4.49,2.75
0.44,60.1,60.0,1,4.86,4.95,2.95
0.72,61.4,58.0,1,5.76,5.8,3.55
0.7,61.9,57.0,2,5.68,5.73,3.53
